PROB_PROSPECT,PROB_ASSINANTE,PERFIL,QT_TOTAL_HIT_PAYWALL,DIASNAVEGADOS,NOTICIASLIDAS,VISITAS_CAPA,USOU_APP,PES_GENERO,ATR_PF_GEO_RENDA_FAM,IDADE
2.1948814,97.805115,True,2,6,0,24,True,False,2,38.0
99.752686,0.24730912,False,0,6,3,0,False,True,3,40.0
0.4058063,99.59419,True,46,20,31,7,False,False,3,65.0
99.89048,0.109522395,False,1,2,2,0,False,True,5,39.0
92.192184,7.8078127,False,1,1,1,0,False,False,3,63.0
0.5130172,99.486984,True,18,22,0,84,True,False,2,37.0
0.14562607,99.85437,True,0,0,0,0,False,False,3,45.0
99.780685,0.21931545,False,0,1,1,0,False,False,5,58.0
99.61981,0.38018999,False,3,1,0,0,False,True,4,44.0
99.6665,0.33350742,False,0,6,5,4,False,False,6,50.0
0.45235753,99.547646,True,92,38,27,8,True,False,2,54.0
1.042074,98.957924,True,3,2,5,0,False,False,4,78.0
1.9610107,98.03899,True,88,22,11,2,False,False,4,38.0
99.553894,0.446103,False,0,1,0,0,False,False,5,58.0
1.3023078,98.69769,True,20,12,0,16,True,False,3,31.0
99.92442,0.07558024,False,53,32,14,204,True,True,3,55.0
99.925385,0.074616335,False,0,26,69,9,False,False,5,61.0
99.53024,0.46975586,False,2,1,0,0,False,True,3,27.0
59.73532,40.264675,False,18,20,20,8,False,False,5,37.0
99.93784,0.062154833,False,1,39,42,40,True,False,5,30.0
99.98148,0.01851258,False,1,12,16,0,False,True,3,35.0
98.27089,1.729105,False,0,60,522,5,False,False,4,40.0
99.73768,0.26231784,False,0,10,4,0,False,False,4,41.0
1.0967791,98.90322,True,3,13,26,5,False,False,3,40.0
0.85184574,99.148155,True,46,33,30,75,False,False,5,33.0
2.3099124,97.69009,True,0,1,2,0,False,False,2,80.0
0.66334605,99.336655,True,0,0,0,0,False,False,3,63.0
99.95889,0.041102014,False,0,1,1,0,False,True,2,61.0
2.3099124,97.69009,True,0,1,2,0,False,False,2,80.0
99.92203,0.077977285,False,32,6,6,0,False,False,3,40.0
0.50263405,99.49737,True,20,58,286,0,False,True,2,49.0
1.4067769,98.59322,True,11,16,10,0,False,False,3,51.0
0.31557083,99.68443,True,0,0,0,0,False,False,2,32.0
99.97097,0.029036231,False,0,3,1,0,False,False,5,46.0
0.7016301,99.29837,True,3,4,4,0,False,False,4,25.0
99.40133,0.5986685,False,0,5,4,0,False,False,2,81.0
0.17697215,99.82303,True,0,0,0,0,False,False,3,32.0
0.14562607,99.85437,True,0,0,0,0,False,False,3,46.0
0.18094182,99.81906,True,0,0,0,0,False,True,4,30.0
99.921974,0.078028865,False,1,4,7,0,False,True,3,52.0
0.85166097,99.14834,True,0,16,5,84,True,False,5,39.0
99.52405,0.475953,False,0,2,2,0,False,False,3,39.0
39.605385,60.394615,False,2,5,0,7,True,False,3,42.0
0.31557083,99.68443,True,0,0,0,0,False,False,2,31.0
0.31557083,99.68443,True,0,0,0,0,False,False,2,31.0
1.3023078,98.69769,True,20,12,0,16,True,False,3,31.0
99.92602,0.07397978,False,2,2,4,0,False,True,2,38.0
0.5083442,99.49165,True,9,58,191,3,False,True,4,33.0
0.97967386,99.020325,True,1,6,3,7,False,False,2,54.0
1.5260339,98.47397,True,7,56,410,1366,True,False,3,47.0
99.821686,0.17831042,False,0,26,6,32,False,False,3,39.0
99.92904,0.070956424,False,0,3,3,0,False,True,4,33.0
0.7327378,99.267265,True,5,3,1,7,True,True,6,40.0
0.7210016,99.279,True,0,5,0,16,True,False,3,43.0
98.18257,1.8174298,False,43,48,0,362,True,False,3,56.0
0.97967386,99.020325,True,1,6,3,7,False,False,2,54.0
99.98048,0.019525237,False,0,5,0,0,False,False,2,33.0
1.8946946,98.10531,True,0,9,5,1,False,True,3,39.0
99.2264,0.77359813,False,0,28,30,66,False,False,4,79.0
99.9156,0.08439826,False,0,6,3,4,False,False,2,28.0
0.3575623,99.64244,True,1,1,0,9,True,False,3,44.0
99.93887,0.061126135,False,1,20,7,0,False,False,3,43.0
99.93959,0.060410913,False,0,2,3,1,False,True,2,30.0
99.99456,0.005441371,False,1,5,5,0,False,True,5,59.0
99.08283,0.91716415,False,0,2,2,1,False,True,2,89.0
1.4067769,98.59322,True,11,16,10,0,False,False,3,51.0
98.70582,1.2941829,False,0,49,182,9,True,False,5,38.0
99.946526,0.053470813,False,0,3,2,0,False,True,4,46.0
99.92327,0.0767272,False,0,7,5,0,False,True,2,30.0
99.82129,0.17871292,False,4,10,3,8,False,True,3,43.0
99.99004,0.009962519,False,0,2,1,0,False,True,3,58.0
99.9663,0.033698827,False,0,2,2,0,False,True,4,47.0
0.16396642,99.83604,True,0,0,0,0,False,False,2,36.0
0.3440082,99.65599,True,0,0,0,0,False,False,4,42.0
0.5556166,99.44438,True,0,0,0,0,False,False,2,41.0
99.420074,0.5799251,False,0,2,0,8,True,True,2,53.0
0.7210016,99.279,True,0,5,0,16,True,False,3,43.0
0.50626993,99.49373,True,6,51,177,0,False,False,4,36.0
99.95395,0.04604885,False,0,20,1,40,False,False,3,37.0
99.99236,0.0076332004,False,0,44,8,0,False,False,3,45.0
99.769844,0.2301566,False,4,22,24,0,False,True,2,37.0
99.66185,0.33814922,False,0,6,5,0,False,False,4,33.0
99.889404,0.11059722,False,0,13,25,0,False,False,5,48.0
0.30840635,99.6916,True,53,60,289,495,True,False,2,54.0
96.66595,3.3340528,False,1,4,2,1,False,False,4,47.0
99.98838,0.01161465,False,0,32,64,16,True,True,3,36.0
1.3023078,98.69769,True,20,12,0,16,True,False,3,31.0
99.32636,0.6736414,False,7,15,10,13,True,False,2,33.0
0.50626993,99.49373,True,6,51,177,0,False,False,4,36.0
99.91261,0.0873841,False,16,15,2,39,True,True,5,43.0
99.790695,0.20930535,False,0,1,1,0,False,True,3,37.0
2.1948814,97.805115,True,2,6,0,24,True,False,2,38.0
99.89808,0.10192247,False,0,4,4,2,False,False,3,56.0
98.99122,1.0087824,False,0,8,3,7,False,True,4,42.0
99.94578,0.054221857,False,0,3,2,1,False,False,2,35.0
0.3440082,99.65599,True,0,0,0,0,False,False,4,42.0
99.99073,0.009269943,False,0,12,17,0,False,True,2,29.0
99.99203,0.007974827,False,0,11,18,0,False,False,3,34.0
0.97967386,99.020325,True,1,6,3,7,False,False,2,54.0
99.98508,0.014926201,False,0,7,11,0,False,False,4,34.0
0.50263405,99.49737,True,20,58,286,0,False,True,2,49.0
0.66334605,99.336655,True,0,0,0,0,False,False,3,63.0
99.98146,0.018536655,False,0,28,29,59,True,True,2,36.0
97.64445,2.3555493,False,1,1,1,0,False,True,4,85.0
1.5260339,98.47397,True,7,56,410,1366,True,False,3,47.0
98.0043,1.9957013,False,0,1,1,0,False,False,4,28.0
1.3023078,98.69769,True,20,12,0,16,True,False,3,31.0
97.20365,2.7963498,False,0,7,0,22,True,False,3,38.0
0.7210016,99.279,True,0,5,0,16,True,False,3,43.0
0.5083442,99.49165,True,9,58,191,3,False,True,4,33.0
0.8388579,99.16114,True,0,12,6,15,False,False,1,55.0
99.88625,0.11374826,False,0,1,1,0,False,True,2,49.0
99.9398,0.060205366,False,0,38,67,89,True,False,5,50.0
0.8388579,99.16114,True,0,12,6,15,False,False,1,55.0
99.988106,0.011892352,False,0,2,1,0,False,True,3,30.0
99.74598,0.2540246,False,8,21,34,0,False,True,3,40.0
99.81994,0.18006001,False,8,10,0,56,True,False,4,44.0
2.1948814,97.805115,True,2,6,0,24,True,False,2,38.0
99.93409,0.06591056,False,4,20,22,0,False,True,3,27.0
0.17697215,99.82303,True,0,0,0,0,False,False,3,32.0
0.3575623,99.64244,True,1,1,0,9,True,False,3,44.0
1.3023078,98.69769,True,20,12,0,16,True,False,3,31.0
0.50263405,99.49737,True,20,58,286,0,False,True,2,49.0
0.97967386,99.020325,True,1,6,3,7,False,False,2,54.0
0.23238063,99.76762,True,0,0,0,0,False,False,5,78.0
99.93134,0.068657696,False,0,2,0,6,True,False,1,72.0
99.97262,0.027381513,False,0,6,6,0,False,False,4,35.0
99.78455,0.2154445,False,7,26,42,0,False,False,2,31.0
0.26646256,99.733536,True,0,0,0,0,False,True,2,37.0
0.3440082,99.65599,True,0,0,0,0,False,False,4,42.0
1.5260339,98.47397,True,7,56,410,1366,True,False,3,47.0
0.50263405,99.49737,True,20,58,286,0,False,True,2,49.0
99.9336,0.06639994,False,0,4,4,0,False,True,3,46.0
0.7016301,99.29837,True,3,4,4,0,False,False,4,25.0
91.309586,8.690412,False,0,1,2,0,False,False,2,60.0
0.85184574,99.148155,True,46,33,30,75,False,False,5,33.0
0.50626993,99.49373,True,6,51,177,0,False,False,4,36.0
1.4166951,98.583305,True,0,56,171,266,False,False,4,58.0
0.8388579,99.16114,True,0,12,6,15,False,False,1,55.0
0.14562607,99.85437,True,0,0,0,0,False,False,3,46.0
0.23238063,99.76762,True,0,0,0,0,False,False,5,78.0
1.1023343,98.89767,True,8,2,0,6,True,True,3,54.0
1.8946946,98.10531,True,0,9,5,1,False,True,3,39.0
99.815,0.18499848,False,2,8,6,0,False,False,2,40.0
0.58885217,99.41115,True,20,48,324,126,True,False,5,62.0
99.76162,0.2383813,False,4,3,3,0,False,True,2,35.0
99.96763,0.03237277,False,4,10,17,0,False,True,3,30.0
0.14562607,99.85437,True,0,0,0,0,False,False,3,45.0
0.30840635,99.6916,True,53,60,289,495,True,False,2,54.0
0.13891459,99.861084,True,0,0,0,0,False,False,3,26.0
99.01495,0.9850424,False,2,2,4,0,False,False,2,26.0
2.3099124,97.69009,True,0,1,2,0,False,False,2,80.0
0.8388579,99.16114,True,0,12,6,15,False,False,1,55.0
1.3347745,98.66522,True,3,4,3,0,False,False,2,45.0
0.31557083,99.68443,True,0,0,0,0,False,False,2,32.0
99.957504,0.042500187,False,0,1,1,0,False,True,5,56.0
0.21550655,99.78449,True,0,0,0,0,False,True,3,40.0
99.77207,0.2279261,False,0,1,1,0,False,False,2,40.0
95.50418,4.495815,False,0,1,2,0,False,True,4,28.0
0.7016301,99.29837,True,3,4,4,0,False,False,4,25.0
0.18094182,99.81906,True,0,0,0,0,False,True,4,30.0
0.20159483,99.79841,True,0,0,0,0,False,True,4,46.0
98.6503,1.3496993,False,4,9,13,0,False,False,1,46.0
99.920364,0.07963971,False,0,9,9,0,False,True,2,44.0
99.896675,0.10332169,False,2,37,55,0,False,False,4,48.0
0.31557083,99.68443,True,0,0,0,0,False,False,2,32.0
99.83396,0.16604158,False,0,1,1,0,False,True,4,34.0
0.30840635,99.6916,True,53,60,289,495,True,False,2,54.0
99.951416,0.048586644,False,0,4,5,0,False,True,2,50.0
99.98017,0.019829836,False,0,2,2,0,False,True,1,31.0
0.31557083,99.68443,True,0,0,0,0,False,False,2,32.0
99.28032,0.71967614,False,0,60,268,360,True,False,5,41.0
0.4058063,99.59419,True,46,20,31,7,False,False,3,65.0
1.0967791,98.90322,True,3,13,26,5,False,False,3,40.0
98.74065,1.2593502,False,46,39,21,0,False,False,4,35.0
99.84134,0.15865919,False,0,48,163,198,True,False,4,56.0
0.17697215,99.82303,True,0,0,0,0,False,False,3,32.0
99.97672,0.023274584,False,0,3,0,4,True,False,3,45.0
99.88863,0.111363016,False,0,5,5,0,False,False,2,40.0
99.99825,0.0017435371,False,0,29,53,27,True,True,5,47.0
99.17375,0.826252,False,0,13,11,14,True,True,4,25.0
22.081835,77.91817,False,3,2,3,0,False,False,2,27.0
99.62473,0.37526584,False,3,14,0,58,True,False,3,48.0
1.8946946,98.10531,True,0,9,5,1,False,True,3,39.0
2.1948814,97.805115,True,2,6,0,24,True,False,2,38.0
99.84185,0.15814972,False,22,14,7,9,False,True,2,34.0
1.8946946,98.10531,True,0,9,5,1,False,True,3,39.0
99.81355,0.18644993,False,0,6,2,0,False,True,3,54.0
7.4292364,92.57076,False,3,2,1,0,False,False,3,54.0
1.4166951,98.583305,True,0,56,171,266,False,False,4,58.0
0.3575623,99.64244,True,1,1,0,9,True,False,3,44.0
99.91619,0.083809085,False,0,5,4,0,False,True,4,46.0
0.4513085,99.54869,True,0,0,0,0,False,False,4,57.0
0.58885217,99.41115,True,20,48,324,126,True,False,5,62.0
99.14462,0.8553828,False,16,15,0,48,True,False,2,46.0
99.74238,0.25762156,False,0,60,487,2,False,False,2,33.0
99.89629,0.10370372,False,0,3,3,0,False,True,4,26.0
99.86824,0.13175388,False,0,17,24,0,False,False,2,36.0
1.4067769,98.59322,True,11,16,10,0,False,False,3,51.0
0.18380284,99.8162,True,0,0,0,0,False,True,3,29.0
99.98535,0.014649301,False,10,43,0,411,True,True,5,41.0
99.86163,0.13836892,False,0,59,197,462,True,False,2,40.0
0.20159483,99.79841,True,0,0,0,0,False,True,4,46.0
0.3440082,99.65599,True,0,0,0,0,False,False,4,42.0
79.68315,20.316849,False,45,17,10,0,False,False,2,43.0
0.17697215,99.82303,True,0,0,0,0,False,False,3,32.0
0.3575623,99.64244,True,1,1,0,9,True,False,3,44.0
99.499306,0.5006922,False,0,1,1,0,False,False,2,44.0
0.7327378,99.267265,True,5,3,1,7,True,True,6,40.0
98.85347,1.1465317,False,42,60,0,325,True,False,2,32.0
0.3719747,99.62803,True,9,0,0,0,False,False,3,55.0
95.49859,4.5014076,False,0,1,0,1,False,True,3,36.0
0.20941496,99.79059,True,0,0,0,0,False,True,4,34.0
99.9645,0.035500802,False,0,1,1,0,False,True,4,63.0
51.346077,48.653923,False,18,20,3,34,True,False,4,37.0
0.14562607,99.85437,True,0,0,0,0,False,False,3,46.0
92.60459,7.3954096,False,30,13,0,102,True,False,2,40.0
0.3575623,99.64244,True,1,1,0,9,True,False,3,44.0
99.734764,0.26523203,False,0,56,148,245,False,False,3,46.0
99.60631,0.39369422,False,0,1,0,0,False,True,3,24.0
99.91049,0.08950714,False,0,13,20,0,False,False,4,37.0
2.1948814,97.805115,True,2,6,0,24,True,False,2,38.0
0.21550655,99.78449,True,0,0,0,0,False,True,3,40.0
99.2694,0.7305976,False,3,5,9,0,False,False,6,41.0
0.85166097,99.14834,True,0,16,5,84,True,False,5,39.0
99.96744,0.032560527,False,0,4,4,0,False,True,3,31.0
99.75818,0.2418201,False,0,2,0,6,True,False,2,50.0
0.26646256,99.733536,True,0,0,0,0,False,True,2,37.0
99.828384,0.17161301,False,36,19,0,147,True,False,3,73.0
99.77818,0.2218164,False,0,1,1,0,False,False,3,59.0
0.3440082,99.65599,True,0,0,0,0,False,False,4,42.0
0.23238063,99.76762,True,0,0,0,0,False,False,5,78.0
0.14562607,99.85437,True,0,0,0,0,False,False,3,45.0
0.31557083,99.68443,True,0,0,0,0,False,False,2,31.0
0.85166097,99.14834,True,0,16,5,84,True,False,5,39.0
99.993706,0.0062948777,False,0,3,2,0,False,True,4,69.0
1.4067769,98.59322,True,11,16,10,0,False,False,3,51.0
0.97967386,99.020325,True,1,6,3,7,False,False,2,54.0
99.77734,0.22265191,False,0,13,2,0,False,False,5,32.0
99.394424,0.6055757,False,8,23,10,41,True,False,4,29.0
0.3719747,99.62803,True,9,0,0,0,False,False,3,55.0
